FlyBase:FBgn0019631	Drer\shh
ZFIN:ZDB-GENE-030131-2168	apoc2
ZFIN:ZDB-GENE-030131-2172	metap2b
ZFIN:ZDB-GENE-030131-2179	tmem2
ZFIN:ZDB-GENE-030131-2193	prdm1a
ZFIN:ZDB-GENE-030131-2201	bhlha9
ZFIN:ZDB-GENE-030131-2207	zc4h2
ZFIN:ZDB-GENE-030131-2220	fntb
ZFIN:ZDB-GENE-030131-224	bmi1a
ZFIN:ZDB-GENE-030131-2281	col4a5
ZFIN:ZDB-GENE-030131-2291	cc2d2a
ZFIN:ZDB-GENE-030131-2299	cltca
ZFIN:ZDB-GENE-030131-2317	ewsr1a
ZFIN:ZDB-GENE-030131-2333	hexb
ZFIN:ZDB-GENE-030131-2341	med24
ZFIN:ZDB-GENE-030131-2348	vapb
ZFIN:ZDB-GENE-030131-2376	her8a
ZFIN:ZDB-GENE-030131-2403	zcchc11
ZFIN:ZDB-GENE-030131-2415	cav1
ZFIN:ZDB-GENE-030131-2416	f11r.1
ZFIN:ZDB-GENE-030131-2453	top2a
ZFIN:ZDB-GENE-030131-2492	sf1
ZFIN:ZDB-GENE-030131-2513	rnaset2
ZFIN:ZDB-GENE-030131-2535	akap10
ZFIN:ZDB-GENE-030131-2538	shc1
ZFIN:ZDB-GENE-030131-2560	gas2l3
ZFIN:ZDB-GENE-030131-2581	whsc1
ZFIN:ZDB-GENE-030131-2585	nxf1
ZFIN:ZDB-GENE-030131-2590	clint1a
ZFIN:ZDB-GENE-030131-264	serpinc1
ZFIN:ZDB-GENE-030131-2649	mtmr14
ZFIN:ZDB-GENE-030131-2656	wnk1b
ZFIN:ZDB-GENE-030131-267	brd4
ZFIN:ZDB-GENE-030131-2670	klc2
ZFIN:ZDB-GENE-030131-2702	tsc2
ZFIN:ZDB-GENE-030131-2709	prdm14
ZFIN:ZDB-GENE-030131-271	smyhc1
ZFIN:ZDB-GENE-030131-2721	add3a
ZFIN:ZDB-GENE-030131-2741	hspb12
ZFIN:ZDB-GENE-030131-2748	eif3ba
ZFIN:ZDB-GENE-030131-2773	trim33
ZFIN:ZDB-GENE-030131-2804	dyrk2
ZFIN:ZDB-GENE-030131-2805	podxl
ZFIN:ZDB-GENE-030131-2808	polr2gl
ZFIN:ZDB-GENE-030131-2845	stk3
