MGI:1891325	Eae16
MGI:97448	Otc
MGI:96477	Igh-V
MGI:1346317	Nr2e3
MGI:2442543	Vash1
MGI:2388361	Gldn
MGI:2442060	Rassf2
MGI:3606274	Cfmq2
MGI:2671377	gro
MGI:1916892	Mlip
MGI:3577035	Erars1
MGI:3045049	Vtbt7
MGI:1928901	Pdzk1
MGI:3050605	esgd12d
MGI:2150406	Cosz3
MGI:97384	Ntrk2
MGI:3701676	Mlca1
MGI:101910	F2rl1
MGI:1858901	Fut8
MGI:1917153	Rasip1
MGI:104669	Man2a1
MGI:3529431	Crocc
MGI:88345	Cd72
MGI:1101781	Elf3
MGI:94871	Eci1
MGI:1352498	Ndrg2
MGI:1933973	Rbfox2
MGI:3720922	Tgq15
MGI:2671610	skc16
MGI:105057	Cdh5
MGI:1890572	pfz
MGI:1913292	Sostdc1
MGI:3040352	Dntcs2
MGI:2176159	Cyp26b1
MGI:99906	Tie1
MGI:2671644	bhe
MGI:2442682	Slc30a8
MGI:97766	Prm2
MGI:3580346	qbal
MGI:1344416	Ash2l
MGI:1913392	Cox7b
MGI:3723111	Swqnd2
MGI:1917943	Gpr125
MGI:5560151	b2b2362.1Clo
MGI:3579880	Drsi
MGI:2671394	gro4
MGI:3033922	l4Jus10
MGI:1341793	Pbx2
MGI:2680103	Loca2
MGI:1330838	Lgmn
MGI:2135958	Scap
MGI:99540	Tal2
MGI:2181163	Esmr
MGI:3512926	Fmgty9
MGI:105937	Cfi
MGI:2149686	Skull6
MGI:2384966	Mgat2
MGI:1333854	Gab2
MGI:1347110	Scc9
MGI:96702	Krt5
MGI:1096349	Ptprq
MGI:1928899	Tacc2
MGI:2139279	Hrh3
MGI:3033970	l4Jus20
MGI:108415	Pafah1b2
MGI:99137	Xrcc1
MGI:88373	Cebpb
MGI:3038428	nur49
MGI:3664332	plt
MGI:2178480	Bbaa18
MGI:3692641	Ctrq1
MGI:3042881	Kidq1
MGI:1344384	Vmn1r49
MGI:97858	Rarg
MGI:1341865	Mark3
MGI:101774	Cd79a
MGI:1930243	Nobq2
MGI:2149010	Dock2
MGI:99694	Rasgrf1
MGI:99603	Smarca2
MGI:106299	Slx4
MGI:1859920	Ebag9
MGI:3619564	Asdq7
MGI:3815138	Rgsc1243
MGI:98215	Rxrb
MGI:3030379	Olfr545
MGI:2149786	Selm
MGI:3580285	biga1
MGI:1914220	Ssbp2
MGI:106038	Lrrn1
MGI:88580	Cyl
MGI:3784974	Modvl3
MGI:3702462	Mmom1
MGI:101786	Mtf1
MGI:95817	Grik4
MGI:1346867	Map2k2
MGI:1306802	Itgb1bp1
MGI:96281	Htr2c
MGI:2138334	Dgkd
MGI:108395	Vnn1
MGI:97307	Nf2
MGI:5425974	BPL007
MGI:1888712	Ppbp
MGI:96725	l1Rk2
MGI:1923993	Gje1
MGI:97550	Pfn2
MGI:1919238	Esco2
MGI:97876	Rbp1
MGI:87872	Acc
MGI:2384818	Mtss1
MGI:87894	Chrne
MGI:3577484	nur75
MGI:1929651	Supt20
MGI:1927133	Gmfb
MGI:1929205	Cigs2
MGI:3527655	Egaq3
